From	To	Species	Gene Name
ENSG00000127124	HIVEP3	Homo sapiens	human immunodeficiency virus type I enhancer binding protein 3(HIVEP3)
ENSG00000204335	SP5	Homo sapiens	Sp5 transcription factor(SP5)
ENSG00000167554	ZNF610	Homo sapiens	zinc finger protein 610(ZNF610)
ENSG00000118620	ZNF430	Homo sapiens	zinc finger protein 430(ZNF430)
ENSG00000187140	FOXD3	Homo sapiens	forkhead box D3(FOXD3)
ENSG00000131196	NFATC1	Homo sapiens	nuclear factor of activated T-cells 1(NFATC1)
ENSG00000131788	PIAS3	Homo sapiens	protein inhibitor of activated STAT 3(PIAS3)
ENSG00000196357	ZNF565	Homo sapiens	zinc finger protein 565(ZNF565)
ENSG00000176293	ZNF135	Homo sapiens	zinc finger protein 135(ZNF135)
ENSG00000215372	ZNF705G	Homo sapiens	zinc finger protein 705G(ZNF705G)
ENSG00000123636	BAZ2B	Homo sapiens	bromodomain adjacent to zinc finger domain 2B(BAZ2B)
ENSG00000064489	BORCS8-MEF2B	Homo sapiens	BORCS8-MEF2B readthrough(BORCS8-MEF2B)
ENSG00000113430	IRX4	Homo sapiens	iroquois homeobox 4(IRX4)
ENSG00000124766	SOX4	Homo sapiens	SRY-box 4(SOX4)
ENSG00000197213	ZSCAN5B	Homo sapiens	zinc finger and SCAN domain containing 5B(ZSCAN5B)
ENSG00000196350	Znf729	Homo sapiens	zinc finger protein 729(ZNF729)
ENSG00000105610	KLF1	Homo sapiens	Kruppel like factor 1(KLF1)
ENSG00000089335	ZNF302	Homo sapiens	zinc finger protein 302(ZNF302)
ENSG00000170549	IRX1	Homo sapiens	iroquois homeobox 1(IRX1)
ENSG00000072736	NFATC3	Homo sapiens	nuclear factor of activated T-cells 3(NFATC3)
ENSG00000170561	IRX2	Homo sapiens	iroquois homeobox 2(IRX2)
ENSG00000147596	PRDM14	Homo sapiens	PR/SET domain 14(PRDM14)
ENSG00000064218	DMRT3	Homo sapiens	doublesex and mab-3 related transcription factor 3(DMRT3)
ENSG00000164631	ZNF12	Homo sapiens	zinc finger protein 12(ZNF12)
ENSG00000114439	bbx	Homo sapiens	BBX, HMG-box containing(BBX)
ENSG00000136630	HLX	Homo sapiens	H2.0 like homeobox(HLX)
ENSG00000125878	TCF15	Homo sapiens	transcription factor 15 (basic helix-loop-helix)(TCF15)
ENSG00000127528	KLF2	Homo sapiens	Kruppel like factor 2(KLF2)
ENSG00000152284	TCF7L1	Homo sapiens	transcription factor 7 like 1(TCF7L1)
ENSG00000157259	GATAD1	Homo sapiens	GATA zinc finger domain containing 1(GATAD1)
ENSG00000180938	ZNF572	Homo sapiens	zinc finger protein 572(ZNF572)
ENSG00000197608	ZNF841	Homo sapiens	zinc finger protein 841(ZNF841)
ENSG00000062370	ZNF112	Homo sapiens	zinc finger protein 112(ZNF112)
ENSG00000164438	TLX3	Homo sapiens	T-cell leukemia homeobox 3(TLX3)
ENSG00000101126	ADNP	Homo sapiens	activity dependent neuroprotector homeobox(ADNP)
ENSG00000167157	PRRX2	Homo sapiens	paired related homeobox 2(PRRX2)
ENSG00000107859	PITX3	Homo sapiens	paired like homeodomain 3(PITX3)
ENSG00000176692	FOXC2	Homo sapiens	forkhead box C2(FOXC2)
ENSG00000184058	TBX1	Homo sapiens	T-box 1(TBX1)
ENSG00000105880	DLX5	Homo sapiens	distal-less homeobox 5(DLX5)
ENSG00000187987	ZSCAN23	Homo sapiens	zinc finger and SCAN domain containing 23(ZSCAN23)
ENSG00000151702	FLI1	Homo sapiens	Fli-1 proto-oncogene, ETS transcription factor(FLI1)
ENSG00000131759	RARA	Homo sapiens	retinoic acid receptor alpha(RARA)
ENSG00000141448	GATA6	Homo sapiens	GATA binding protein 6(GATA6)
ENSG00000169840	GSX1	Homo sapiens	GS homeobox 1(GSX1)
ENSG00000169136	MIR4751	Homo sapiens	microRNA 4751(MIR4751)
ENSG00000197008	ZNF138	Homo sapiens	zinc finger protein 138(ZNF138)
ENSG00000124613	ZNF391	Homo sapiens	zinc finger protein 391(ZNF391)
ENSG00000136169	SETDB2	Homo sapiens	SET domain bifurcated 2(SETDB2)
ENSG00000188909	BSX	Homo sapiens	brain specific homeobox(BSX)
ENSG00000121413	ZSCAN18	Homo sapiens	zinc finger and SCAN domain containing 18(ZSCAN18)
ENSG00000167840	ZNF232	Homo sapiens	zinc finger protein 232(ZNF232)
ENSG00000136770	DNAJC1	Homo sapiens	DnaJ heat shock protein family (Hsp40) member C1(DNAJC1)
ENSG00000121417	ZNF211	Homo sapiens	zinc finger protein 211(ZNF211)
ENSG00000152804	HHEX	Homo sapiens	hematopoietically expressed homeobox(HHEX)
ENSG00000008441	NFIX	Homo sapiens	nuclear factor I X(NFIX)
ENSG00000197951	ZNF71	Homo sapiens	zinc finger protein 71(ZNF71)
ENSG00000068323	TFE3	Homo sapiens	transcription factor binding to IGHM enhancer 3(TFE3)
ENSG00000170485	NPAS2	Homo sapiens	neuronal PAS domain protein 2(NPAS2)
ENSG00000197757	HOXC6	Homo sapiens	homeobox C6(HOXC6)
ENSG00000081059	TCF7	Homo sapiens	transcription factor 7 (T-cell specific, HMG-box)(TCF7)
ENSG00000204524	ZNF805	Homo sapiens	zinc finger protein 805(ZNF805)
ENSG00000167074	TEF	Homo sapiens	TEF, PAR bZIP transcription factor(TEF)
ENSG00000133740	E2F5	Homo sapiens	E2F transcription factor 5(E2F5)
ENSG00000113387	SUB1	Homo sapiens	SUB1 homolog, transcriptional regulator(SUB1)
ENSG00000118495	PLAGL1	Homo sapiens	PLAG1 like zinc finger 1(PLAGL1)
ENSG00000141644	MBD1	Homo sapiens	methyl-CpG binding domain protein 1(MBD1)
ENSG00000169131	ZNF354A	Homo sapiens	zinc finger protein 354A(ZNF354A)
ENSG00000141646	SMAD4	Homo sapiens	SMAD family member 4(SMAD4)
ENSG00000009307	CSDE1	Homo sapiens	cold shock domain containing E1(CSDE1)
ENSG00000054598	FOXC1	Homo sapiens	forkhead box C1(FOXC1)
ENSG00000204366	ZBTB12	Homo sapiens	zinc finger and BTB domain containing 12(ZBTB12)
ENSG00000113580	NR3C1	Homo sapiens	nuclear receptor subfamily 3 group C member 1(NR3C1)
ENSG00000144026	ZNF514	Homo sapiens	zinc finger protein 514(ZNF514)
ENSG00000136352	NKX2-1	Homo sapiens	NK2 homeobox 1(NKX2-1)
ENSG00000129028	THAP10	Homo sapiens	THAP domain containing 10(THAP10)
ENSG00000204920	ZNF155	Homo sapiens	zinc finger protein 155(ZNF155)
ENSG00000009709	PAX7	Homo sapiens	paired box 7(PAX7)
ENSG00000136367	ZFHX2	Homo sapiens	zinc finger homeobox 2(ZFHX2)
ENSG00000197013	ZNF429	Homo sapiens	zinc finger protein 429(ZNF429)
ENSG00000163792	tcf23	Homo sapiens	transcription factor 23(TCF23)
ENSG00000139624	CERS5	Homo sapiens	ceramide synthase 5(CERS5)
ENSG00000166704	ZNF606	Homo sapiens	zinc finger protein 606(ZNF606)
ENSG00000100281	HMGXB4	Homo sapiens	HMG-box containing 4(HMGXB4)
ENSG00000117139	KDM5B	Homo sapiens	lysine demethylase 5B(KDM5B)
ENSG00000144218	AFF3	Homo sapiens	AF4/FMR2 family member 3(AFF3)
ENSG00000132604	TERF2	Homo sapiens	telomeric repeat binding factor 2(TERF2)
ENSG00000121406	ZNF549	Homo sapiens	zinc finger protein 549(ZNF549)
ENSG00000196152	ZNF79	Homo sapiens	zinc finger protein 79(ZNF79)
ENSG00000197016	ZNF470	Homo sapiens	zinc finger protein 470(ZNF470)
ENSG00000179348	GATA2	Homo sapiens	GATA binding protein 2(GATA2)
ENSG00000196150	ZNF250	Homo sapiens	zinc finger protein 250(ZNF250)
ENSG00000196498	NCOR2	Homo sapiens	nuclear receptor corepressor 2(NCOR2)
ENSG00000169856	ONECUT1	Homo sapiens	one cut homeobox 1(ONECUT1)
ENSG00000163795	ZNF513	Homo sapiens	zinc finger protein 513(ZNF513)
ENSG00000079263	SP140	Homo sapiens	SP140 nuclear body protein(SP140)
ENSG00000067082	KLF6	Homo sapiens	Kruppel like factor 6(KLF6)
ENSG00000119547	onecut2	Homo sapiens	one cut homeobox 2(ONECUT2)
ENSG00000197937	znf347	Homo sapiens	zinc finger protein 347(ZNF347)
ENSG00000204531	POU5F1	Homo sapiens	POU class 5 homeobox 1(POU5F1)
ENSG00000184828	ZBTB7C	Homo sapiens	zinc finger and BTB domain containing 7C(ZBTB7C)
ENSG00000186496	ZNF396	Homo sapiens	zinc finger protein 396(ZNF396)
ENSG00000142700	DMRTA2	Homo sapiens	DMRT like family A2(DMRTA2)
ENSG00000196693	ZNF33B	Homo sapiens	zinc finger protein 33B(ZNF33B)
ENSG00000138378	STAT4	Homo sapiens	signal transducer and activator of transcription 4(STAT4)
ENSG00000147421	HMBOX1	Homo sapiens	homeobox containing 1(HMBOX1)
ENSG00000184221	olig1	Homo sapiens	oligodendrocyte transcription factor 1(OLIG1)
ENSG00000170260	ZNF212	Homo sapiens	zinc finger protein 212(ZNF212)
ENSG00000197020	ZNF100	Homo sapiens	zinc finger protein 100(ZNF100)
ENSG00000177374	HIC1	Homo sapiens	HIC ZBTB transcriptional repressor 1(HIC1)
ENSG00000151322	NPAS3	Homo sapiens	neuronal PAS domain protein 3(NPAS3)
ENSG00000073584	SMARCE1	Homo sapiens	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1(SMARCE1)
ENSG00000196482	ESRRG	Homo sapiens	estrogen related receptor gamma(ESRRG)
ENSG00000164458	T	Homo sapiens	T brachyury transcription factor(T)
ENSG00000197024	ZNF398	Homo sapiens	zinc finger protein 398(ZNF398)
ENSG00000166949	SMAD3	Homo sapiens	SMAD family member 3(SMAD3)
ENSG00000251247	ZNF345	Homo sapiens	zinc finger protein 345(ZNF345)
ENSG00000173480	ZNF417	Homo sapiens	zinc finger protein 417(ZNF417)
ENSG00000158805	ZNF276	Homo sapiens	zinc finger protein 276(ZNF276)
ENSG00000213999	MEF2B	Homo sapiens	myocyte enhancer factor 2B(MEF2B)
ENSG00000119574	ZBTB45	Homo sapiens	zinc finger and BTB domain containing 45(ZBTB45)
ENSG00000182903	znf721	Homo sapiens	zinc finger protein 721(ZNF721)
ENSG00000197935	ZNF311	Homo sapiens	zinc finger protein 311(ZNF311)
ENSG00000081665	ZNF506	Homo sapiens	zinc finger protein 506(ZNF506)
ENSG00000197933	ZNF823	Homo sapiens	zinc finger protein 823(ZNF823)
ENSG00000170265	ZNF282	Homo sapiens	zinc finger protein 282(ZNF282)
ENSG00000197928	ZNF677	Homo sapiens	zinc finger protein 677(ZNF677)
ENSG00000186487	MYT1L	Homo sapiens	myelin transcription factor 1 like(MYT1L)
ENSG00000069812	HES2	Homo sapiens	hes family bHLH transcription factor 2(HES2)
ENSG00000157557	ETS2	Homo sapiens	ETS proto-oncogene 2, transcription factor(ETS2)
ENSG00000139651	ZNF740	Homo sapiens	zinc finger protein 740(ZNF740)
ENSG00000068305	MEF2A	Homo sapiens	myocyte enhancer factor 2A(MEF2A)
ENSG00000006704	GTF2IRD1	Homo sapiens	GTF2I repeat domain containing 1(GTF2IRD1)
ENSG00000120690	ELF1	Homo sapiens	E74 like ETS transcription factor 1(ELF1)
ENSG00000157554	ERG	Homo sapiens	ERG, ETS transcription factor(ERG)
ENSG00000006468	ETV1	Homo sapiens	ETS variant 1(ETV1)
ENSG00000198205	ZXDA	Homo sapiens	zinc finger, X-linked, duplicated A(ZXDA)
ENSG00000140262	TCF12	Homo sapiens	transcription factor 12(TCF12)
ENSG00000103495	MAZ	Homo sapiens	MYC associated zinc finger protein(MAZ)
ENSG00000136574	GATA4	Homo sapiens	GATA binding protein 4(GATA4)
ENSG00000120693	SMAD9	Homo sapiens	SMAD family member 9(SMAD9)
ENSG00000140265	ZSCAN29	Homo sapiens	zinc finger and SCAN domain containing 29(ZSCAN29)
ENSG00000153560	UBP1	Homo sapiens	upstream binding protein 1 (LBP-1a)(UBP1)
ENSG00000171116	HSFX1	Homo sapiens	heat shock transcription factor family, X-linked 1(HSFX1)
ENSG00000111206	FOXM1	Homo sapiens	forkhead box M1(FOXM1)
ENSG00000033800	PIAS1	Homo sapiens	protein inhibitor of activated STAT 1(PIAS1)
ENSG00000122592	HOXA7	Homo sapiens	homeobox A7(HOXA7)
ENSG00000186051	TAL2	Homo sapiens	TAL bHLH transcription factor 2(TAL2)
ENSG00000020256	zfp64	Homo sapiens	ZFP64 zinc finger protein(ZFP64)
ENSG00000147601	TERF1	Homo sapiens	telomeric repeat binding factor 1(TERF1)
ENSG00000204946	ZNF783	Homo sapiens	zinc finger family member 783(ZNF783)
ENSG00000197037	ZSCAN25	Homo sapiens	zinc finger and SCAN domain containing 25(ZSCAN25)
ENSG00000204947	ZNF425	Homo sapiens	zinc finger protein 425(ZNF425)
ENSG00000196172	ZNF681	Homo sapiens	zinc finger protein 681(ZNF681)
ENSG00000067066	SP100	Homo sapiens	SP100 nuclear antigen(SP100)
ENSG00000176887	SOX11	Homo sapiens	SRY-box 11(SOX11)
ENSG00000197921	HES5	Homo sapiens	hes family bHLH transcription factor 5(HES5)
ENSG00000165821	sall2	Homo sapiens	spalt like transcription factor 2(SALL2)
ENSG00000170448	NFXL1	Homo sapiens	nuclear transcription factor, X-box binding like 1(NFXL1)
ENSG00000186272	ZNF17	Homo sapiens	zinc finger protein 17(ZNF17)
ENSG00000179361	ARID3B	Homo sapiens	AT-rich interaction domain 3B(ARID3B)
ENSG00000212993	POU5F1B	Homo sapiens	POU class 5 homeobox 1B(POU5F1B)
ENSG00000183770	FOXL2	Homo sapiens	forkhead box L2(FOXL2)
ENSG00000124444	ZNF576	Homo sapiens	zinc finger protein 576(ZNF576)
ENSG00000179774	ATOH7	Homo sapiens	atonal bHLH transcription factor 7(ATOH7)
ENSG00000213096	ZNF254	Homo sapiens	zinc finger protein 254(ZNF254)
ENSG00000179772	FOXS1	Homo sapiens	forkhead box S1(FOXS1)
ENSG00000196670	ZFP62	Homo sapiens	ZFP62 zinc finger protein(ZFP62)
ENSG00000198807	PAX9	Homo sapiens	paired box 9(PAX9)
ENSG00000137090	DMRT1	Homo sapiens	doublesex and mab-3 related transcription factor 1(DMRT1)
ENSG00000104804	TULP2	Homo sapiens	tubby like protein 2(TULP2)
ENSG00000109685	whsc1	Homo sapiens	Wolf-Hirschhorn syndrome candidate 1(WHSC1)
ENSG00000102349	KLF8	Homo sapiens	Kruppel like factor 8(KLF8)
ENSG00000196466	ZNF799	Homo sapiens	zinc finger protein 799(ZNF799)
ENSG00000130338	TULP4	Homo sapiens	tubby like protein 4(TULP4)
ENSG00000159556	ISL2	Homo sapiens	ISL LIM homeobox 2(ISL2)
ENSG00000140044	JDP2	Homo sapiens	Jun dimerization protein 2(JDP2)
ENSG00000130675	MNX1	Homo sapiens	motor neuron and pancreas homeobox 1(MNX1)
ENSG00000197044	ZNF441	Homo sapiens	zinc finger protein 441(ZNF441)
ENSG00000165891	E2F7	Homo sapiens	E2F transcription factor 7(E2F7)
ENSG00000121454	LHX4	Homo sapiens	LIM homeobox 4(LHX4)
ENSG00000074219	TEAD2	Homo sapiens	TEA domain transcription factor 2(TEAD2)
ENSG00000198429	ZNF69	Homo sapiens	zinc finger protein 69(ZNF69)
ENSG00000196460	RFX8	Homo sapiens	RFX family member 8, lacking RFX DNA binding domain(RFX8)
ENSG00000005801	ZNF195	Homo sapiens	zinc finger protein 195(ZNF195)
ENSG00000109072	VTN	Homo sapiens	vitronectin(VTN)
ENSG00000102145	GATA1	Homo sapiens	GATA binding protein 1(GATA1)
ENSG00000215343	ZNF705D	Homo sapiens	zinc finger protein 705D(ZNF705D)
ENSG00000197714	ZNF460	Homo sapiens	zinc finger protein 460(ZNF460)
ENSG00000078043	PIAS2	Homo sapiens	protein inhibitor of activated STAT 2(PIAS2)
ENSG00000179111	HES7	Homo sapiens	hes family bHLH transcription factor 7(HES7)
ENSG00000135899	SP110	Homo sapiens	SP110 nuclear body protein(SP110)
ENSG00000125798	FOXA2	Homo sapiens	forkhead box A2(FOXA2)
ENSG00000198815	FOXJ3	Homo sapiens	forkhead box J3(FOXJ3)
ENSG00000198816	ZNF358	Homo sapiens	zinc finger protein 358(ZNF358)
ENSG00000166402	TUB	Homo sapiens	tubby bipartite transcription factor(TUB)
ENSG00000100811	MIR6764	Homo sapiens	microRNA 6764(MIR6764)
ENSG00000196458	znf605	Homo sapiens	zinc finger protein 605(ZNF605)
ENSG00000204779	FOXD4L5	Homo sapiens	forkhead box D4-like 5(FOXD4L5)
ENSG00000189403	HMGB1	Homo sapiens	high mobility group box 1(HMGB1)
ENSG00000196456	ZNF775	Homo sapiens	zinc finger protein 775(ZNF775)
ENSG00000172346	CSDC2	Homo sapiens	cold shock domain containing C2(CSDC2)
ENSG00000205250	E2F4	Homo sapiens	E2F transcription factor 4(E2F4)
ENSG00000130684	ZNF337	Homo sapiens	zinc finger protein 337(ZNF337)
ENSG00000185513	L3MBTL1	Homo sapiens	l(3)mbt-like 1 (Drosophila)(L3MBTL1)
ENSG00000162419	GMEB1	Homo sapiens	glucocorticoid modulatory element binding protein 1(GMEB1)
ENSG00000105516	DBP	Homo sapiens	D-box binding PAR bZIP transcription factor(DBP)
ENSG00000196453	ZNF777	Homo sapiens	zinc finger protein 777(ZNF777)
ENSG00000180626	ZNF594	Homo sapiens	zinc finger protein 594(ZNF594)
ENSG00000138136	LBX1	Homo sapiens	ladybird homeobox 1(LBX1)
ENSG00000108924	HLF	Homo sapiens	HLF, PAR bZIP transcription factor(HLF)
ENSG00000124664	spdef	Homo sapiens	SAM pointed domain containing ETS transcription factor(SPDEF)
ENSG00000136327	NKX2-8	Homo sapiens	NK2 homeobox 8(NKX2-8)
ENSG00000173473	SMARCC1	Homo sapiens	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1(SMARCC1)
ENSG00000156150	ALX3	Homo sapiens	ALX homeobox 3(ALX3)
ENSG00000125398	SOX9	Homo sapiens	SRY-box 9(SOX9)
ENSG00000197054	Znf763	Homo sapiens	zinc finger protein 763(ZNF763)
ENSG00000196867	ZFP28	Homo sapiens	ZFP28 zinc finger protein(ZFP28)
ENSG00000133794	ARNTL	Homo sapiens	aryl hydrocarbon receptor nuclear translocator like(ARNTL)
ENSG00000197050	ZNF420	Homo sapiens	zinc finger protein 420(ZNF420)
ENSG00000155592	ZKSCAN2	Homo sapiens	zinc finger with KRAB and SCAN domains 2(ZKSCAN2)
ENSG00000163939	PBRM1	Homo sapiens	polybromo 1(PBRM1)
ENSG00000165156	ZHX1	Homo sapiens	zinc fingers and homeoboxes 1(ZHX1)
ENSG00000050344	nfe2l3	Homo sapiens	nuclear factor, erythroid 2 like 3(NFE2L3)
ENSG00000185507	IRF7	Homo sapiens	interferon regulatory factor 7(IRF7)
ENSG00000223547	ZNF844	Homo sapiens	zinc finger protein 844(ZNF844)
ENSG00000142025	DMRTC2	Homo sapiens	DMRT like family C2(DMRTC2)
ENSG00000249471	ZNF324B	Homo sapiens	zinc finger protein 324B(ZNF324B)
ENSG00000136997	MYC	Homo sapiens	v-myc avian myelocytomatosis viral oncogene homolog(MYC)
ENSG00000137709	POU2F3	Homo sapiens	POU class 2 homeobox 3(POU2F3)
ENSG00000198440	ZNF583	Homo sapiens	zinc finger protein 583(ZNF583)
ENSG00000186026	ZNF284	Homo sapiens	zinc finger protein 284(ZNF284)
ENSG00000074657	ZNF532	Homo sapiens	zinc finger protein 532(ZNF532)
ENSG00000179528	LBX2	Homo sapiens	ladybird homeobox 2(LBX2)
ENSG00000156853	ZNF689	Homo sapiens	zinc finger protein 689(ZNF689)
ENSG00000196826	ZNF709	Homo sapiens	zinc finger protein 709(ZNF709)
ENSG00000169155	ZBTB43	Homo sapiens	zinc finger and BTB domain containing 43(ZBTB43)
ENSG00000074047	GLI2	Homo sapiens	GLI family zinc finger 2(GLI2)
ENSG00000197063	MAFG	Homo sapiens	MAF bZIP transcription factor G(MAFG)
ENSG00000180613	GSX2	Homo sapiens	GS homeobox 2(GSX2)
ENSG00000178860	MSC	Homo sapiens	musculin(MSC)
ENSG00000139613	SMARCC2	Homo sapiens	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2(SMARCC2)
ENSG00000186020	ZNF529	Homo sapiens	zinc finger protein 529(ZNF529)
ENSG00000102804	TSC22D1	Homo sapiens	TSC22 domain family member 1(TSC22D1)
ENSG00000130856	ZNF236	Homo sapiens	zinc finger protein 236(ZNF236)
ENSG00000166211	SPIC	Homo sapiens	Spi-C transcription factor(SPIC)
ENSG00000071564	TCF3	Homo sapiens	transcription factor 3(TCF3)
ENSG00000184271	POU6F1	Homo sapiens	POU class 6 homeobox 1(POU6F1)
ENSG00000178665	ZNF713	Homo sapiens	zinc finger protein 713(ZNF713)
ENSG00000129911	KLF16	Homo sapiens	Kruppel like factor 16(KLF16)
ENSG00000105136	ZNF419	Homo sapiens	zinc finger protein 419(ZNF419)
ENSG00000176842	IRX5	Homo sapiens	iroquois homeobox 5(IRX5)
ENSG00000197961	ZNF121	Homo sapiens	zinc finger protein 121(ZNF121)
ENSG00000186019	LOC100379224	Homo sapiens	uncharacterized LOC100379224(LOC100379224)
ENSG00000186230	ZNF749	Homo sapiens	zinc finger protein 749(ZNF749)
ENSG00000186017	ZNF566	Homo sapiens	zinc finger protein 566(ZNF566)
ENSG00000196437	ZNF569	Homo sapiens	zinc finger protein 569(ZNF569)
ENSG00000204595	DPRX	Homo sapiens	divergent-paired related homeobox(DPRX)
ENSG00000151379	MSGN1	Homo sapiens	mesogenin 1(MSGN1)
ENSG00000173451	THAP2	Homo sapiens	THAP domain containing 2(THAP2)
ENSG00000131721	RHOXF2	Homo sapiens	Rhox homeobox family member 2(RHOXF2)
ENSG00000175592	fosl1	Homo sapiens	FOS like 1, AP-1 transcription factor subunit(FOSL1)
ENSG00000001167	NFYA	Homo sapiens	nuclear transcription factor Y subunit alpha(NFYA)
ENSG00000243943	ZNF512	Homo sapiens	zinc finger protein 512(ZNF512)
ENSG00000164093	PITX2	Homo sapiens	paired like homeodomain 2(PITX2)
ENSG00000164299	SPZ1	Homo sapiens	spermatogenic leucine zipper 1(SPZ1)
ENSG00000111249	CUX2	Homo sapiens	cut like homeobox 2(CUX2)
ENSG00000215356	ZNF705B	Homo sapiens	zinc finger protein 705B(ZNF705B)
ENSG00000166925	TSC22D4	Homo sapiens	TSC22 domain family member 4(TSC22D4)
ENSG00000162676	GFI1	Homo sapiens	growth factor independent 1 transcriptional repressor(GFI1)
ENSG00000128652	HOXD3	Homo sapiens	homeobox D3(HOXD3)
ENSG00000150907	FOXO1	Homo sapiens	forkhead box O1(FOXO1)
ENSG00000090612	znf268	Homo sapiens	zinc finger protein 268(ZNF268)
ENSG00000007968	E2F2	Homo sapiens	E2F transcription factor 2(E2F2)
ENSG00000196843	ARID5A	Homo sapiens	AT-rich interaction domain 5A(ARID5A)
ENSG00000198846	TOX	Homo sapiens	thymocyte selection associated high mobility group box(TOX)
ENSG00000185122	HSF1	Homo sapiens	heat shock transcription factor 1(HSF1)
ENSG00000120669	SOHLH2	Homo sapiens	spermatogenesis and oogenesis specific basic helix-loop-helix 2(SOHLH2)
ENSG00000167081	PBX3	Homo sapiens	PBX homeobox 3(PBX3)
ENSG00000175322	znf519	Homo sapiens	zinc finger protein 519(ZNF519)
ENSG00000032219	ARID4A	Homo sapiens	AT-rich interaction domain 4A(ARID4A)
ENSG00000254004	ZNF260	Homo sapiens	zinc finger protein 260(ZNF260)
ENSG00000155545	MIER3	Homo sapiens	MIER family member 3(MIER3)
ENSG00000197497	ZNF665	Homo sapiens	zinc finger protein 665(ZNF665)
ENSG00000181315	ZNF322	Homo sapiens	zinc finger protein 322(ZNF322)
ENSG00000196418	ZNF124	Homo sapiens	zinc finger protein 124(ZNF124)
ENSG00000108312	UBTF	Homo sapiens	upstream binding transcription factor, RNA polymerase I(UBTF)
ENSG00000183309	ZNF623	Homo sapiens	zinc finger protein 623(ZNF623)
ENSG00000175329	ISX	Homo sapiens	intestine specific homeobox(ISX)
ENSG00000089775	ZBTB25	Homo sapiens	zinc finger and BTB domain containing 25(ZBTB25)
ENSG00000170954	ZNF415	Homo sapiens	zinc finger protein 415(ZNF415)
ENSG00000177599	ZNF491	Homo sapiens	zinc finger protein 491(ZNF491)
ENSG00000121297	TSHZ3	Homo sapiens	teashirt zinc finger homeobox 3(TSHZ3)
ENSG00000188994	ZNF292	Homo sapiens	zinc finger protein 292(ZNF292)
ENSG00000175325	prop1	Homo sapiens	PROP paired-like homeobox 1(PROP1)
ENSG00000173039	RELA	Homo sapiens	RELA proto-oncogene, NF-kB subunit(RELA)
ENSG00000180479	ZNF571	Homo sapiens	zinc finger protein 571(ZNF571)
ENSG00000086102	NFX1	Homo sapiens	nuclear transcription factor, X-box binding 1(NFX1)
ENSG00000011590	ZBTB32	Homo sapiens	zinc finger and BTB domain containing 32(ZBTB32)
ENSG00000125347	IRF1	Homo sapiens	interferon regulatory factor 1(IRF1)
ENSG00000177311	ZBTB38	Homo sapiens	zinc finger and BTB domain containing 38(ZBTB38)
ENSG00000165643	SOHLH1	Homo sapiens	spermatogenesis and oogenesis specific basic helix-loop-helix 1(SOHLH1)
ENSG00000152439	ZNF773	Homo sapiens	zinc finger protein 773(ZNF773)
ENSG00000107485	GATA3	Homo sapiens	GATA binding protein 3(GATA3)
ENSG00000092067	CEBPE	Homo sapiens	CCAAT/enhancer binding protein epsilon(CEBPE)
ENSG00000181722	ZBTB20	Homo sapiens	zinc finger and BTB domain containing 20(ZBTB20)
ENSG00000128645	MIR7704	Homo sapiens	microRNA 7704(MIR7704)
ENSG00000152433	ZNF547	Homo sapiens	zinc finger protein 547(ZNF547)
ENSG00000196428	TSC22D2	Homo sapiens	TSC22 domain family member 2(TSC22D2)
ENSG00000172379	MIR5572	Homo sapiens	microRNA 5572(MIR5572)
ENSG00000197483	ZNF628	Homo sapiens	zinc finger protein 628(ZNF628)
ENSG00000122145	TBX22	Homo sapiens	T-box 22(TBX22)
ENSG00000130182	ZSCAN10	Homo sapiens	zinc finger and SCAN domain containing 10(ZSCAN10)
ENSG00000116731	PRDM2	Homo sapiens	PR/SET domain 2(PRDM2)
ENSG00000170949	ZNF160	Homo sapiens	zinc finger protein 160(ZNF160)
ENSG00000130844	ZNF331	Homo sapiens	zinc finger protein 331(ZNF331)
ENSG00000152443	ZNF776	Homo sapiens	zinc finger protein 776(ZNF776)
ENSG00000185551	MIR1469	Homo sapiens	microRNA 1469(MIR1469)
ENSG00000182742	HOXB4	Homo sapiens	homeobox B4(HOXB4)
ENSG00000196417	Znf765	Homo sapiens	zinc finger protein 765(ZNF765)
ENSG00000115966	atf2	Homo sapiens	activating transcription factor 2(ATF2)
ENSG00000118217	ATF6	Homo sapiens	activating transcription factor 6(ATF6)
ENSG00000135457	tfcp2	Homo sapiens	transcription factor CP2(TFCP2)
ENSG00000196605	ZNF846	Homo sapiens	zinc finger protein 846(ZNF846)
ENSG00000163508	EOMES	Homo sapiens	eomesodermin(EOMES)
ENSG00000173011	TADA2B	Homo sapiens	transcriptional adaptor 2B(TADA2B)
ENSG00000188629	ZNF559-ZNF177	Homo sapiens	ZNF559-ZNF177 readthrough(ZNF559-ZNF177)
ENSG00000123307	NEUROD4	Homo sapiens	neuronal differentiation 4(NEUROD4)
ENSG00000158055	GRHL3	Homo sapiens	grainyhead like transcription factor 3(GRHL3)
ENSG00000188620	HMX3	Homo sapiens	H6 family homeobox 3(HMX3)
ENSG00000135625	EGR4	Homo sapiens	early growth response 4(EGR4)
ENSG00000152454	ZNF256	Homo sapiens	zinc finger protein 256(ZNF256)
ENSG00000130803	ZNF317	Homo sapiens	zinc finger protein 317(ZNF317)
